,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,2704,6,L5,pyr,pyr,51.1625,49.845,0.0,6.25,1,1
1,2704,6,L5,pyr,pyr,36.86545454545455,61.43999999999999,45.45454545454545,36.36363636363637,1,2
2,2704,6,L5,pyr,pyr,43.91384615384615,54.79692307692307,53.84615384615385,46.15384615384615,1,3
3,2899,4,L5,pyr,pyr,45.54736842105263,44.29684210526316,5.2631578947368425,15.789473684210526,1,1
4,3019,4,L5,pyr,pyr,58.02666666666667,124.78333333333336,25.0,16.666666666666668,1,1
5,3019,5,L5,pyr,pyr,43.98790697674419,50.19255813953489,27.906976744186046,46.51162790697674,1,2
6,3019,6,L5,pyr,pyr,75.30666666666667,68.78074074074074,11.11111111111111,14.814814814814815,1,3
7,3109,4,L5,pyr,pyr,53.394000000000005,44.14999999999999,30.0,50.0,1,1
8,3109,4,L5,pyr,pyr,43.126153846153855,60.535384615384615,23.076923076923077,23.076923076923077,1,2
9,3109,5,L5,pyr,pyr,54.41777777777778,49.89333333333334,22.22222222222222,66.66666666666667,1,2
10,3138,4,L5,pyr,pyr,45.83,44.715999999999994,30.0,30.0,1,1
11,3138,5,L5,pyr,pyr,47.318,60.896,40.0,50.0,1,1
12,3138,4,L5,pyr,pyr,44.462222222222216,54.69333333333333,22.22222222222222,77.77777777777777,1,2
13,3138,5,L5,pyr,pyr,52.32000000000001,33.656,20.0,60.0,1,2
14,3288,4,L5,pyr,pyr,43.449230769230766,43.6523076923077,38.46153846153846,38.46153846153846,1,1
15,3288,4,L5,pyr,pyr,31.599999999999998,46.80571428571428,42.857142857142854,71.42857142857143,1,2
16,3288,4,L5,pyr,pyr,52.949999999999996,111.62,33.333333333333336,25.0,1,3
17,3288,5,L5,pyr,pyr,57.696000000000005,79.16799999999999,40.0,20.0,1,3
18,3349,4,L5,pyr,pyr,41.332,45.132000000000005,30.0,40.0,1,1
19,3349,5,L5,pyr,pyr,39.24,96.12,0.0,0.0,1,1
20,3349,4,L5,pyr,pyr,48.952000000000005,43.251999999999995,20.0,40.0,1,2
21,3349,4,L5,pyr,pyr,45.82,45.636,40.0,40.0,1,3
22,7721,4,L5,pyr,pyr,55.49714285714284,57.36857142857143,7.142857142857143,0.0,1,1
23,7721,6,L5,pyr,pyr,39.33052631578948,39.077894736842104,26.31578947368421,26.31578947368421,1,1
24,19465,4,L5,pyr,pyr,52.98285714285714,53.25714285714285,28.571428571428573,57.142857142857146,1,1
25,19467,6,L5,pyr,pyr,54.49777777777778,45.44444444444444,22.22222222222222,44.44444444444444,1,1
26,19467,7,L5,pyr,pyr,42.824,41.720000000000006,30.0,80.0,1,1
27,19467,8,L5,pyr,pyr,51.035999999999994,49.547999999999995,30.0,40.0,1,1
28,19467,9,L5,pyr,pyr,60.88,211.0,0.0,100.0,1,1
29,19662,2,L5,pyr,pyr,60.88000000000001,68.78666666666666,11.11111111111111,22.22222222222222,1,1
30,19663,3,L5,pyr,pyr,50.599999999999994,78.12,11.11111111111111,11.11111111111111,1,1
31,19663,5,L5,pyr,pyr,45.596363636363634,48.48,45.45454545454545,72.72727272727273,1,1
32,19663,6,L5,pyr,pyr,41.932,43.552,10.0,40.0,1,1
33,19663,7,L5,pyr,pyr,47.596000000000004,126.976,20.0,90.0,1,1
34,19854,14,L5,pyr,pyr,48.184,178.98399999999998,20.0,100.0,1,1
35,20293,4,L5,pyr,pyr,54.224000000000004,87.52000000000001,0.0,90.0,1,1
36,20293,5,L5,pyr,pyr,47.684000000000005,85.92800000000001,20.0,80.0,1,1
37,20293,6,L5,pyr,pyr,36.565,68.61000000000001,50.0,37.5,1,1
38,20293,7,L5,pyr,pyr,58.64799999999999,82.38399999999999,0.0,100.0,1,1
39,20294,1,L5,pyr,pyr,64.36500000000001,134.935,12.5,100.0,1,1
40,20294,2,L5,pyr,pyr,49.815999999999995,87.16,40.0,100.0,1,1
41,20294,3,L5,pyr,pyr,47.376,68.268,30.0,50.0,1,1
42,20294,4,L5,pyr,pyr,45.944,37.396,30.0,100.0,1,1
43,20294,5,L5,pyr,pyr,46.099999999999994,70.23600000000002,40.0,60.0,1,1
44,20294,8,L5,pyr,pyr,47.736000000000004,47.727999999999994,20.0,20.0,1,1
